ID_Lote,Fecha,ID_Producto,ID_Linea,ID_Turno,Leche_Usada_Litros,Azucar_Usada_Kg,Otros_Insumos_Kg,Produccion_Programada_Kg,Produccion_Real_Kg,Produccion_Conforme_Kg,Produccion_Defectuosa_Kg,Tiempo_Planificado_Horas,Tiempo_Operativo_Horas,Tiempo_Parada_Horas,Tiempo_Total_Horas,Consumo_Vapor_m3,Consumo_Energia_kWh,Costo_Materia_Prima_USD,Costo_Energia_USD,Costo_ManoObra_USD,Costo_Total_USD,Costo_Unitario_USD_Kg,Estado_Calidad,Nombre_Producto,Categoria_Producto,Presentacion_Kg,Rendimiento_Teorico_L_Kg,Nombre_Linea,Capacidad_Nominal_Kg_Hora,Nombre_Turno
LOT-202601-0001,2026-01-01,PROD003,LIN001,TUR001,744.62,40.0,4.0,200,188.96,176.49,12.47,0.8,0.86,0.37,1.23,89.93,64.62,346.74,115.67,55.35,517.76,2.74,Rechazado / Reproceso,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0002,2026-01-01,PROD004,LIN002,TUR003,2104.65,100.0,10.0,500,463.12,422.08,41.04,1.0,1.03,0.0,1.03,216.47,137.89,968.95,276.31,77.25,1322.51,2.86,Rechazado / Reproceso,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 2 - Marmitas 1000L,500,Noche (22:00 - 06:00)
LOT-202601-0003,2026-01-01,PROD003,LIN003,TUR001,3808.21,200.0,20.0,1000,947.37,929.16,18.21,1.25,1.31,0.22,1.53,457.72,280.78,1769.45,582.96,168.3,2520.71,2.66,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 3 - Continua 2000L,800,Mañana (06:00 - 14:00)
LOT-202601-0004,2026-01-01,PROD002,LIN003,TUR001,3007.95,160.0,16.0,800,785.46,760.23,25.23,1.0,0.99,0.0,0.99,399.59,238.54,1399.34,508.13,108.9,2016.37,2.57,Aprobado con Observaciones,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 3 - Continua 2000L,800,Mañana (06:00 - 14:00)
LOT-202601-0005,2026-01-01,PROD002,LIN003,TUR001,3029.55,160.0,16.0,800,810.82,771.05,39.77,1.0,1.04,0.0,1.04,375.06,255.6,1408.41,480.74,114.4,2003.55,2.47,Aprobado con Observaciones,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 3 - Continua 2000L,800,Mañana (06:00 - 14:00)
LOT-202601-0006,2026-01-02,PROD005,LIN001,TUR003,1058.75,50.0,5.0,250,243.68,240.61,3.07,1.0,1.02,0.0,1.02,123.47,77.72,487.18,157.49,45.9,690.57,2.83,Aprobado A1,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 1 - Marmitas 500L,250,Noche (22:00 - 06:00)
LOT-202601-0007,2026-01-02,PROD001,LIN003,TUR001,2608.66,140.0,14.0,700,665.69,625.13,40.56,0.88,0.92,0.0,0.92,335.68,243.24,1214.64,432.0,101.2,1747.84,2.63,Rechazado / Reproceso,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 3 - Continua 2000L,800,Mañana (06:00 - 14:00)
LOT-202601-0008,2026-01-02,PROD001,LIN003,TUR003,3885.73,200.0,20.0,1000,989.58,965.64,23.94,1.25,1.22,0.0,1.22,495.4,295.4,1802.01,629.93,134.2,2566.14,2.59,Aprobado A1,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 3 - Continua 2000L,800,Noche (22:00 - 06:00)
LOT-202601-0009,2026-01-03,PROD005,LIN001,TUR003,843.4,40.0,4.0,200,197.84,189.63,8.21,0.8,0.86,0.0,0.86,105.71,71.28,388.23,135.41,38.7,562.34,2.84,Aprobado con Observaciones,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 1 - Marmitas 500L,250,Noche (22:00 - 06:00)
LOT-202601-0010,2026-01-03,PROD003,LIN001,TUR001,750.01,40.0,4.0,200,195.67,194.05,1.62,0.8,0.85,0.0,0.85,100.34,71.57,349.0,129.0,38.25,516.25,2.64,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0011,2026-01-03,PROD002,LIN001,TUR002,1175.42,60.0,6.0,300,291.12,286.27,4.85,1.2,1.23,1.1,2.33,154.87,94.94,544.68,197.24,104.85,846.77,2.91,Aprobado A1,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0012,2026-01-03,PROD003,LIN002,TUR001,2300.01,120.0,12.0,600,587.65,584.71,2.94,1.2,1.21,0.0,1.21,304.33,211.9,1068.0,390.62,90.75,1549.37,2.64,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 2 - Marmitas 1000L,500,Mañana (06:00 - 14:00)
LOT-202601-0013,2026-01-03,PROD004,LIN003,TUR002,2802.85,140.0,14.0,700,688.15,670.36,17.79,0.88,0.92,0.84,1.76,327.02,224.26,1296.2,419.34,193.6,1909.14,2.77,Aprobado con Observaciones,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0014,2026-01-04,PROD004,LIN001,TUR001,820.84,40.0,4.0,200,199.29,193.15,6.14,0.8,0.84,0.0,0.84,99.42,61.2,378.75,126.65,37.8,543.2,2.73,Aprobado con Observaciones,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0015,2026-01-04,PROD004,LIN001,TUR001,817.15,40.0,4.0,200,202.47,197.99,4.48,0.8,0.76,0.0,0.76,102.14,70.35,377.2,131.01,34.2,542.41,2.68,Aprobado A1,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0016,2026-01-04,PROD002,LIN002,TUR001,2329.02,120.0,12.0,600,563.47,549.36,14.11,1.2,1.28,0.0,1.28,282.09,201.78,1080.19,362.72,96.0,1538.91,2.73,Aprobado con Observaciones,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 2 - Marmitas 1000L,500,Mañana (06:00 - 14:00)
LOT-202601-0017,2026-01-04,PROD001,LIN002,TUR003,1546.24,80.0,8.0,400,383.03,377.68,5.35,0.8,0.82,0.0,0.82,194.08,127.1,717.42,248.15,61.5,1027.07,2.68,Aprobado A1,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 2 - Marmitas 1000L,500,Noche (22:00 - 06:00)
LOT-202601-0018,2026-01-05,PROD003,LIN001,TUR001,947.82,50.0,5.0,250,245.94,240.66,5.28,1.0,0.95,0.0,0.95,132.73,72.76,440.58,168.01,42.75,651.34,2.65,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0019,2026-01-05,PROD002,LIN001,TUR003,930.31,50.0,5.0,250,241.44,239.11,2.33,1.0,1.03,0.0,1.03,130.07,85.61,433.23,166.36,46.35,645.94,2.68,Aprobado A1,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 1 - Marmitas 500L,250,Noche (22:00 - 06:00)
LOT-202601-0020,2026-01-05,PROD005,LIN001,TUR001,1325.08,60.0,6.0,300,288.71,269.48,19.23,1.2,1.25,0.68,1.93,137.67,91.65,607.53,176.2,86.85,870.58,3.02,Rechazado / Reproceso,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0021,2026-01-05,PROD005,LIN002,TUR002,2221.75,100.0,10.0,500,497.59,491.8,5.79,1.0,0.99,0.0,0.99,239.32,173.81,1018.13,308.04,74.25,1400.42,2.81,Aprobado A1,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
